student_email,course_id,sec_no,exam_no,grades
ak1365@nittany.edu,CMPSC465,2,1,65
ak1365@nittany.edu,STAT415,1,1,63
ak5096@nittany.edu,MATH140,1,1,85
ak5096@nittany.edu,CMPSC465,2,1,77
ak5096@nittany.edu,EE330,2,1,82
ak5890@nittany.edu,EE210,2,1,77
ak5890@nittany.edu,MATH230,1,1,62
ak5890@nittany.edu,MATH140,2,1,85
ak9804@nittany.edu,CMPEN411,2,1,76
ak9804@nittany.edu,MATH231,1,1,93
ak9804@nittany.edu,CHEM111,1,1,87
al4613@nittany.edu,EE320,1,1,86
al4613@nittany.edu,EE212,1,1,81
al5684@nittany.edu,CMPSC461,1,1,84
al5684@nittany.edu,CMPSC475,2,1,97
al5806@nittany.edu,CHEM111,1,1,75
al5806@nittany.edu,EE210,2,1,91
al5806@nittany.edu,EE352,1,1,70
al6759@nittany.edu,CMPSC360,1,1,91
al6759@nittany.edu,PHYS213,1,1,99
al6759@nittany.edu,ECON101,1,1,81
al7553@nittany.edu,CHEM110,2,1,63
al7553@nittany.edu,CMPSC461,2,1,88
al7553@nittany.edu,EE212,2,1,82
al8826@nittany.edu,EE352,1,1,85
al8826@nittany.edu,ECON102,2,1,68
al8826@nittany.edu,CMPSC132,1,1,80
al8943@nittany.edu,CMPEN362,2,1,86
al8943@nittany.edu,ECON201,1,1,71
am1296@nittany.edu,PHYS213,1,1,88
am1296@nittany.edu,CMPSC461,2,1,74
am1296@nittany.edu,DS120,2,1,64
am2658@nittany.edu,MATH140,2,1,81
am3245@nittany.edu,CMPSC475,2,1,78
am3245@nittany.edu,CMPSC448,2,1,65
am3245@nittany.edu,PHYS214,1,1,84
am4447@nittany.edu,PHYS212,2,1,82
am4447@nittany.edu,IST110,1,1,83
am4447@nittany.edu,CMPEN331,1,1,84
am5109@nittany.edu,MATH140,2,1,80
am6323@nittany.edu,EE211,2,1,94
am6323@nittany.edu,PHYS211,2,1,77
am6718@nittany.edu,CMPSC461,1,1,76
am6718@nittany.edu,MATH230,1,1,97
am6718@nittany.edu,CHEM111,1,1,72
am9248@nittany.edu,CHEM110,1,1,95
am9248@nittany.edu,EE330,1,1,74
am9248@nittany.edu,CSE543,1,1,72
ao3325@nittany.edu,ECON201,1,1,81
ao3325@nittany.edu,EE330,2,1,64
ao8250@nittany.edu,PHYS212,2,1,88
ao8250@nittany.edu,CSE583,2,1,65
ao8250@nittany.edu,DS220,2,1,80
ap7012@nittany.edu,CHEM111,1,1,67
ap7012@nittany.edu,DS220,1,1,92
ap7012@nittany.edu,EE210,2,1,99
ap8429@nittany.edu,CMPEN441,1,1,61
ap8774@nittany.edu,CMPEN411,2,1,68
ap8774@nittany.edu,EE320,2,1,74
ap8774@nittany.edu,CMPEN331,2,1,69
ar5750@nittany.edu,CMPSC131,2,1,72
ar5750@nittany.edu,CMPEN270,1,1,64
ar7586@nittany.edu,CSE543,2,1,82
ar7586@nittany.edu,CHEM111,1,1,85
ar7586@nittany.edu,DS120,1,1,91
ar9287@nittany.edu,EE211,2,1,68
ar9287@nittany.edu,MATH231,2,1,81
ar9287@nittany.edu,IST110,2,1,77
as1233@nittany.edu,CMPSC360,1,1,94
as1233@nittany.edu,CMPEN431,2,1,83
as1233@nittany.edu,EE330,1,1,95
as2481@nittany.edu,CMPSC448,1,1,84
as2481@nittany.edu,CSE543,1,1,74
as2674@nittany.edu,PHYS214,2,1,95
as2674@nittany.edu,CMPEN351,2,1,85
as2674@nittany.edu,CMPSC465,1,1,73
as3353@nittany.edu,CMPSC132,1,1,65
as3353@nittany.edu,CMPSC448,1,1,83
as3353@nittany.edu,CSE583,1,1,67
as3517@nittany.edu,EE353,1,1,73
as3517@nittany.edu,CMPSC475,2,1,71
as3517@nittany.edu,PHYS214,2,1,67
as3627@nittany.edu,CSE583,2,1,79
as3627@nittany.edu,CMPSC360,1,1,81
as3627@nittany.edu,IST110,2,1,88
as4057@nittany.edu,MATH231,1,1,86
as4057@nittany.edu,EE210,1,1,60
as4372@nittany.edu,CMPEN362,1,1,74
as4372@nittany.edu,EE330,1,1,87
as4372@nittany.edu,DS220,1,1,96
as5959@nittany.edu,EE352,2,1,88
as5959@nittany.edu,CMPEN431,2,1,73
as5959@nittany.edu,EE330,2,1,65
as6603@nittany.edu,CSE583,2,1,92
as6603@nittany.edu,PHYS212,1,1,79
as6603@nittany.edu,CMPEN351,2,1,90
as6904@nittany.edu,DS220,1,1,79
as6904@nittany.edu,CMPEN362,1,1,94
as6904@nittany.edu,ECON101,2,1,69
as7706@nittany.edu,EE212,2,1,79
as7706@nittany.edu,CMPEN351,1,1,72
as7706@nittany.edu,CMPEN362,1,1,93
as9069@nittany.edu,CMPSC132,1,1,75
as9069@nittany.edu,MATH140,2,1,80
as9069@nittany.edu,CHEM110,1,1,85
at1813@nittany.edu,CMPEN431,1,1,76
at1813@nittany.edu,CMPSC221,2,1,81
at1813@nittany.edu,PHYS211,1,1,64
at2037@nittany.edu,PHYS214,2,1,90
at2037@nittany.edu,CSE583,2,1,91
at5855@nittany.edu,DS120,2,1,70
at5855@nittany.edu,CMPSC475,1,1,92
aw1897@nittany.edu,CMPEN351,1,1,66
aw1897@nittany.edu,EE311,1,1,86
aw2413@nittany.edu,ECON102,2,1,74
aw2413@nittany.edu,CMPSC360,1,1,67
aw2413@nittany.edu,EE353,2,1,64
aw2983@nittany.edu,PHYS213,2,1,60
aw2983@nittany.edu,ECON201,2,1,66
aw2983@nittany.edu,EE353,2,1,92
aw5441@nittany.edu,PHYS214,2,1,92
aw5441@nittany.edu,ECON201,2,1,82
aw5441@nittany.edu,CMPSC448,2,1,79
aw8382@nittany.edu,ECON102,1,1,97
aw8382@nittany.edu,STAT318,2,1,79
aw8623@nittany.edu,MATH231,2,1,79
aw8623@nittany.edu,PHYS214,1,1,65
aw8623@nittany.edu,PHYS211,2,1,86
aw9070@nittany.edu,CMPEN351,1,1,99
aw9070@nittany.edu,MATH140,1,1,80
aw9070@nittany.edu,STAT415,2,1,85
ay6012@nittany.edu,EE211,1,1,62
ay6012@nittany.edu,ECON101,2,1,78
ay6012@nittany.edu,CMPEN411,2,1,95
az6923@nittany.edu,IST110,2,1,73
az6923@nittany.edu,MATH140,2,1,87
az6923@nittany.edu,STAT318,2,1,94
ba4903@nittany.edu,CMPSC311,2,1,96
ba4903@nittany.edu,EE210,1,1,99
bb2169@nittany.edu,PHYS214,1,1,83
bb2169@nittany.edu,CMPSC465,2,1,75
bb2169@nittany.edu,CSE583,1,1,76
bb2708@nittany.edu,CMPEN441,1,1,61
bb2708@nittany.edu,CMPSC461,1,1,99
bb2708@nittany.edu,CHEM112,2,1,81
bb3021@nittany.edu,CMPSC475,2,1,69
bb3021@nittany.edu,CSE543,2,1,84
bb3021@nittany.edu,CMPSC131,1,1,61
bb4001@nittany.edu,EE352,2,1,70
bb4001@nittany.edu,MATH141,2,1,61
bb4001@nittany.edu,EE212,2,1,61
bb4483@nittany.edu,DS120,1,1,99
bb4483@nittany.edu,PHYS212,1,1,71
bb4483@nittany.edu,MATH231,2,1,82
bc4962@nittany.edu,CMPEN431,1,1,64
bc4962@nittany.edu,STAT415,2,1,76
bc4962@nittany.edu,STAT319,2,1,77
bd6345@nittany.edu,CMPEN331,2,1,67
bd6345@nittany.edu,CHEM112,2,1,71
bd6345@nittany.edu,ECON101,2,1,69
bf5148@nittany.edu,CSE543,1,1,98
bf5148@nittany.edu,PHYS213,1,1,98
bf5148@nittany.edu,PHYS211,2,1,79
bg1874@nittany.edu,ECON201,1,1,91
bg1874@nittany.edu,CMPEN331,2,1,95
bh1407@nittany.edu,CMPSC465,2,1,86
bh1407@nittany.edu,EE311,1,1,89
bh1407@nittany.edu,CMPEN362,1,1,90
bh9149@nittany.edu,CMPEN411,2,1,72
bh9149@nittany.edu,CMPSC131,1,1,91
bh9149@nittany.edu,CMPSC221,1,1,76
bj2880@nittany.edu,EE320,1,1,76
bj2880@nittany.edu,STAT319,1,1,79
bj2880@nittany.edu,IST110,1,1,76
bk4164@nittany.edu,ECON101,2,1,70
bk4164@nittany.edu,CMPEN270,1,1,88
bk5477@nittany.edu,ECON102,1,1,71
bk5477@nittany.edu,CMPEN411,2,1,60
bk6475@nittany.edu,CHEM111,1,1,90
bk6475@nittany.edu,EE352,1,1,88
bk6824@nittany.edu,CSE583,2,1,69
bk6824@nittany.edu,PHYS214,2,1,60
bk6824@nittany.edu,STAT319,1,1,99
bl3745@nittany.edu,EE353,2,1,71
bl3745@nittany.edu,EE330,2,1,100
bl3745@nittany.edu,CMPEN270,1,1,76
bl4092@nittany.edu,CMPSC311,1,1,76
bl4092@nittany.edu,EE320,2,1,60
bl6052@nittany.edu,CMPSC221,2,1,68
bl6052@nittany.edu,CMPSC475,2,1,72
bl6052@nittany.edu,DS120,1,1,82
bl7521@nittany.edu,PHYS213,2,1,65
bl7521@nittany.edu,STAT318,1,1,87
bl7521@nittany.edu,EE353,1,1,85
bm6234@nittany.edu,EE330,1,1,85
bm6234@nittany.edu,CMPSC221,2,1,100
bm6234@nittany.edu,IST110,1,1,60
bm9506@nittany.edu,ECON102,2,1,90
bm9506@nittany.edu,PHYS214,2,1,88
bm9506@nittany.edu,STAT415,1,1,60
bo5114@nittany.edu,ECON201,2,1,68
bo5114@nittany.edu,MATH141,2,1,78
bo5114@nittany.edu,EE212,1,1,83
bp1701@nittany.edu,CMPEN270,2,1,93
bp1701@nittany.edu,CMPSC461,2,1,85
bp7844@nittany.edu,CMPEN441,2,1,71
bp7844@nittany.edu,CMPSC132,1,1,64
bp7844@nittany.edu,MATH140,2,1,66
bp7877@nittany.edu,EE320,2,1,93
bp7877@nittany.edu,EE311,1,1,79
bp7877@nittany.edu,PHYS213,2,1,88
br5296@nittany.edu,EE212,2,1,75
br5296@nittany.edu,STAT415,2,1,82
br5296@nittany.edu,CMPSC132,1,1,95
br8383@nittany.edu,MATH231,1,1,68
br8383@nittany.edu,CMPEN431,1,1,73
br8383@nittany.edu,PHYS213,1,1,64
br8852@nittany.edu,DS220,2,1,74
bs1006@nittany.edu,CMPSC360,2,1,64
bs1006@nittany.edu,CMPEN270,2,1,86
bs1006@nittany.edu,CMPEN441,1,1,68
bs3099@nittany.edu,CMPSC431W,2,1,69
bs3099@nittany.edu,CSE583,2,1,69
bs3099@nittany.edu,IST128,1,1,91
bt1573@nittany.edu,CMPEN411,1,1,69
bt1573@nittany.edu,EE212,1,1,77
bt1573@nittany.edu,CSE583,2,1,87
bw8893@nittany.edu,IST110,2,1,92
bw8893@nittany.edu,ECON102,2,1,68
bw8893@nittany.edu,CMPSC465,1,1,70
ca1975@nittany.edu,CMPEN441,2,1,76
ca5845@nittany.edu,STAT318,1,1,88
ca5845@nittany.edu,EE311,2,1,65
ca5845@nittany.edu,CMPSC465,1,1,66
ca6499@nittany.edu,DS120,1,1,70
ca6499@nittany.edu,CMPSC311,1,1,93
ca6499@nittany.edu,ECON102,1,1,64
cb2134@nittany.edu,ECON101,1,1,94
cb2134@nittany.edu,PHYS212,2,1,67
cb2134@nittany.edu,CSE543,2,1,78
cb5065@nittany.edu,CMPEN270,1,1,67
cb5065@nittany.edu,CMPEN411,2,1,69
cb5065@nittany.edu,STAT319,2,1,73
cb6121@nittany.edu,CMPEN331,2,1,73
cb6121@nittany.edu,STAT318,2,1,89
cb6121@nittany.edu,DS220,1,1,89
cb8478@nittany.edu,MATH231,1,1,96
cb8478@nittany.edu,EE211,1,1,90
cc1235@nittany.edu,EE212,2,1,69
cc1235@nittany.edu,CMPSC448,2,1,95
cc2445@nittany.edu,MATH231,2,1,93
cc2445@nittany.edu,CHEM112,1,1,67
cc2445@nittany.edu,ECON101,1,1,83
cc6232@nittany.edu,CMPSC461,1,1,84
cc6232@nittany.edu,MATH141,2,1,86
cc6232@nittany.edu,EE212,2,1,64
cd3328@nittany.edu,EE352,2,1,92
cd3328@nittany.edu,CSE583,1,1,66
cd3328@nittany.edu,CMPSC461,1,1,77
cd4187@nittany.edu,EE353,1,1,62
cd4187@nittany.edu,PHYS211,1,1,72
cd4187@nittany.edu,CHEM111,2,1,75
cf2840@nittany.edu,STAT415,1,1,66
cf2840@nittany.edu,CHEM111,1,1,63
cf2840@nittany.edu,CMPSC448,2,1,66
cg4094@nittany.edu,CMPEN351,1,1,94
cg4094@nittany.edu,CMPEN270,1,1,92
cg4965@nittany.edu,CMPSC221,1,1,73
cg4965@nittany.edu,CMPEN331,1,1,65
cg4965@nittany.edu,EE353,1,1,81
cg7136@nittany.edu,DS120,2,1,70
cg7136@nittany.edu,CMPEN362,2,1,86
cg7136@nittany.edu,CMPSC221,2,1,83
ch1256@nittany.edu,CMPSC461,1,1,88
ch1256@nittany.edu,PHYS213,1,1,67
ch2187@nittany.edu,CMPSC131,1,1,98
ch2187@nittany.edu,CMPSC132,2,1,79
ch2187@nittany.edu,EE311,2,1,89
ch3297@nittany.edu,CHEM112,2,1,69
ch3297@nittany.edu,DS220,2,1,75
ch3297@nittany.edu,MATH140,1,1,68
ch6057@nittany.edu,CMPSC221,2,1,73
ch6057@nittany.edu,CMPSC132,2,1,65
ch6057@nittany.edu,MATH231,2,1,76
ch9754@nittany.edu,CHEM111,2,1,97
ch9754@nittany.edu,MATH141,1,1,91
ch9754@nittany.edu,MATH230,2,1,80
ck2097@nittany.edu,STAT415,2,1,97
ck2097@nittany.edu,CSE583,1,1,83
ck2097@nittany.edu,EE353,2,1,88
ck4064@nittany.edu,CMPEN431,2,1,62
ck4064@nittany.edu,EE212,2,1,87
ck4064@nittany.edu,STAT319,2,1,100
ck4873@nittany.edu,DS220,2,1,87
ck4873@nittany.edu,PHYS211,1,1,87
ck4873@nittany.edu,CMPSC131,1,1,86
ck6661@nittany.edu,IST110,1,1,71
ck6661@nittany.edu,CMPSC448,2,1,79
ck6661@nittany.edu,CMPSC360,2,1,69
ck8437@nittany.edu,IST110,1,1,67
ck8437@nittany.edu,ECON101,1,1,91
ck8437@nittany.edu,MATH231,2,1,70
cm4400@nittany.edu,MATH140,1,1,69
cm4400@nittany.edu,EE330,2,1,89
cm4400@nittany.edu,EE211,1,1,97
cm5322@nittany.edu,EE210,2,1,83
cm5322@nittany.edu,PHYS214,2,1,84
cm5322@nittany.edu,CMPSC360,1,1,77
cn5368@nittany.edu,CHEM112,2,1,96
cn5368@nittany.edu,CMPSC475,2,1,63
cn5368@nittany.edu,PHYS211,1,1,84
cn5833@nittany.edu,CMPSC132,1,1,76
cn5833@nittany.edu,STAT415,1,1,100
cn5833@nittany.edu,ECON201,2,1,73
co3033@nittany.edu,CMPSC132,2,1,89
co3033@nittany.edu,MATH230,2,1,66
co3033@nittany.edu,CMPSC131,1,1,96
co5263@nittany.edu,CMPEN362,1,1,70
co5263@nittany.edu,DS120,1,1,77
co9856@nittany.edu,CMPSC431W,1,1,88
co9856@nittany.edu,CMPSC131,2,1,86
co9856@nittany.edu,CMPEN411,1,1,78
cp9426@nittany.edu,PHYS212,2,1,69
cp9426@nittany.edu,STAT319,2,1,62
cp9426@nittany.edu,PHYS211,2,1,93
cq4861@nittany.edu,PHYS212,1,1,89
cq4861@nittany.edu,STAT319,1,1,60
cq4861@nittany.edu,EE352,2,1,84
cr5283@nittany.edu,CMPSC132,2,1,74
cr5283@nittany.edu,CMPSC131,2,1,62
cr5283@nittany.edu,CMPEN431,1,1,81
cr7030@nittany.edu,CMPSC311,1,1,97
cr7030@nittany.edu,PHYS212,2,1,66
cr7030@nittany.edu,MATH140,2,1,81
cr7454@nittany.edu,CMPEN441,1,1,82
cr7454@nittany.edu,CHEM110,1,1,61
cr7454@nittany.edu,MATH230,2,1,92
cr7460@nittany.edu,ECON102,2,1,68
cr7460@nittany.edu,EE352,2,1,76
cr7460@nittany.edu,CMPSC431W,2,1,81
cr7834@nittany.edu,CMPSC448,2,1,64
cr7834@nittany.edu,CMPEN351,1,1,72
cr7834@nittany.edu,CMPEN411,1,1,86
cr8911@nittany.edu,DS220,2,1,85
cr8911@nittany.edu,CMPSC311,2,1,78
cr8911@nittany.edu,EE210,1,1,77
cs1816@nittany.edu,EE210,1,1,87
cs1816@nittany.edu,CMPEN351,1,1,99
cs1816@nittany.edu,CMPEN270,2,1,97
cs2006@nittany.edu,CHEM111,1,1,71
cs2006@nittany.edu,CMPEN362,2,1,94
cs2006@nittany.edu,IST110,1,1,62
cs3610@nittany.edu,CHEM112,1,1,71
cs3610@nittany.edu,CMPSC465,1,1,72
cs3610@nittany.edu,STAT319,2,1,86
cs3661@nittany.edu,EE212,1,1,95
cs3661@nittany.edu,EE311,2,1,63
cs3661@nittany.edu,CMPSC132,1,1,99
cs3754@nittany.edu,PHYS213,1,1,100
cs3754@nittany.edu,MATH230,2,1,75
cs3754@nittany.edu,MATH140,2,1,61
cs4243@nittany.edu,CMPEN441,1,1,80
cs4243@nittany.edu,EE352,2,1,83
cs4540@nittany.edu,CMPEN411,1,1,78
cs4540@nittany.edu,EE311,1,1,62
cs4540@nittany.edu,CMPEN331,2,1,72
cs5417@nittany.edu,CMPSC461,1,1,68
cs5417@nittany.edu,CMPEN441,1,1,72
ct2924@nittany.edu,CMPEN441,1,1,90
ct2924@nittany.edu,CSE543,2,1,78
ct2924@nittany.edu,MATH231,2,1,66
cw1038@nittany.edu,IST128,2,1,74
cw1038@nittany.edu,PHYS213,1,1,85
cw1038@nittany.edu,CMPEN411,2,1,60
cw3561@nittany.edu,ECON201,1,1,90
cw3561@nittany.edu,ECON102,2,1,78
cw3561@nittany.edu,MATH140,1,1,83
cw6141@nittany.edu,IST110,2,1,71
cw6141@nittany.edu,CMPSC311,2,1,82
cw6141@nittany.edu,CMPSC221,1,1,73
cw7068@nittany.edu,DS220,2,1,89
cw7068@nittany.edu,CMPEN331,1,1,71
cw7068@nittany.edu,CMPSC448,1,1,75
cw7585@nittany.edu,EE320,1,1,70
cw7585@nittany.edu,IST128,2,1,89
cz9116@nittany.edu,CMPSC311,1,1,87
cz9116@nittany.edu,CMPEN362,1,1,86
da1878@nittany.edu,CMPSC221,2,1,90
da1878@nittany.edu,PHYS213,2,1,90
da1878@nittany.edu,DS120,1,1,75
da2022@nittany.edu,EE210,1,1,64
da2022@nittany.edu,CMPSC448,1,1,97
da2022@nittany.edu,CHEM110,1,1,99
da3247@nittany.edu,CMPSC465,1,1,83
da3247@nittany.edu,MATH140,1,1,88
da3247@nittany.edu,EE352,2,1,98
da4619@nittany.edu,EE212,2,1,100
da4619@nittany.edu,PHYS211,2,1,100
da4619@nittany.edu,CMPEN362,1,1,70
da8807@nittany.edu,EE311,2,1,69
da8807@nittany.edu,EE210,1,1,63
da8807@nittany.edu,DS120,2,1,83
db1016@nittany.edu,IST110,2,1,69
db1016@nittany.edu,CMPSC360,1,1,71
db1016@nittany.edu,MATH230,2,1,74
db2409@nittany.edu,MATH140,1,1,85
db2409@nittany.edu,CMPSC431W,2,1,96
db2409@nittany.edu,CMPEN431,2,1,61
db6530@nittany.edu,CMPEN411,2,1,83
db6530@nittany.edu,ECON102,1,1,70
db6530@nittany.edu,CMPSC360,1,1,80
dc3082@nittany.edu,CHEM111,2,1,68
dc3082@nittany.edu,CMPSC360,1,1,90
dc5453@nittany.edu,MATH231,2,1,75
dc5453@nittany.edu,CMPEN431,1,1,88
dc5453@nittany.edu,CHEM111,1,1,78
dc7489@nittany.edu,IST128,1,1,60
dc7489@nittany.edu,PHYS212,2,1,90
dc8417@nittany.edu,CMPSC448,1,1,93
dc8417@nittany.edu,EE353,1,1,90
dc8417@nittany.edu,CHEM111,1,1,100
dc8436@nittany.edu,PHYS213,2,1,87
dc8436@nittany.edu,PHYS211,1,1,72
dc8436@nittany.edu,EE320,2,1,85
dd7048@nittany.edu,CMPSC465,2,1,95
dd7048@nittany.edu,EE211,2,1,85
dd7048@nittany.edu,CMPSC475,2,1,65
de5828@nittany.edu,CMPEN331,2,1,74
de5828@nittany.edu,CHEM111,2,1,71
de5828@nittany.edu,EE352,2,1,70
df7770@nittany.edu,MATH230,1,1,77
df7770@nittany.edu,CMPEN351,2,1,67
df7770@nittany.edu,PHYS212,1,1,71
df8189@nittany.edu,CMPSC360,2,1,92
df8189@nittany.edu,EE353,1,1,77
dg1041@nittany.edu,EE311,1,1,91
dg1041@nittany.edu,EE210,1,1,67
dg1041@nittany.edu,CHEM112,2,1,75
dg3029@nittany.edu,CMPSC311,1,1,91
dg3029@nittany.edu,MATH140,2,1,93
dg3029@nittany.edu,CMPSC431W,1,1,85
dg3528@nittany.edu,MATH140,2,1,79
dg3528@nittany.edu,MATH231,2,1,84
dg3660@nittany.edu,EE311,1,1,99
dg3660@nittany.edu,DS120,1,1,63
dg3660@nittany.edu,EE352,2,1,82
dg6925@nittany.edu,CMPEN362,2,1,86
dg6925@nittany.edu,CMPEN351,2,1,71
dg6925@nittany.edu,IST110,1,1,68
dg7321@nittany.edu,STAT415,1,1,74
dg7321@nittany.edu,CMPEN431,1,1,86
dg7321@nittany.edu,CMPSC431W,1,1,79
dg7987@nittany.edu,ECON101,1,1,86
dg7987@nittany.edu,CSE583,1,1,84
dg7987@nittany.edu,MATH141,2,1,97
dg8738@nittany.edu,CMPEN331,1,1,62
dg8738@nittany.edu,EE352,1,1,67
dg9379@nittany.edu,EE210,2,1,93
dg9379@nittany.edu,CMPSC360,2,1,78
dh1318@nittany.edu,CMPSC311,2,1,90
dh1318@nittany.edu,MATH141,2,1,92
dh1318@nittany.edu,CMPSC431W,1,1,78
dh3792@nittany.edu,EE212,2,1,85
dh3792@nittany.edu,CHEM110,1,1,62
dh3792@nittany.edu,MATH230,1,1,68
dh5008@nittany.edu,CMPSC131,1,1,97
dh5008@nittany.edu,CMPEN351,2,1,89
dh5107@nittany.edu,MATH140,1,1,70
dh5107@nittany.edu,CHEM112,1,1,80
dh5107@nittany.edu,CHEM110,1,1,79
dh6358@nittany.edu,PHYS211,1,1,80
dh6358@nittany.edu,CMPEN441,1,1,64
dh6358@nittany.edu,CMPSC475,1,1,80
dh7046@nittany.edu,STAT318,1,1,73
dh7046@nittany.edu,CMPSC465,1,1,94
dh7046@nittany.edu,CMPSC431W,2,1,84
dh7362@nittany.edu,CMPSC475,2,1,63
dh7362@nittany.edu,CMPSC431W,1,1,72
dh7362@nittany.edu,EE212,2,1,86
dh7522@nittany.edu,CMPEN351,1,1,94
dh7522@nittany.edu,EE330,1,1,90
dh7522@nittany.edu,CMPEN411,1,1,69
dj1479@nittany.edu,CMPEN431,2,1,94
dj1479@nittany.edu,MATH230,2,1,62
dj4017@nittany.edu,STAT415,1,1,72
dj4017@nittany.edu,CHEM111,2,1,84
dj4017@nittany.edu,PHYS213,2,1,90
dk1425@nittany.edu,CMPSC131,1,1,98
dk1425@nittany.edu,CMPEN331,1,1,73
dk5850@nittany.edu,CMPEN411,2,1,73
dk5850@nittany.edu,MATH231,1,1,92
dk5850@nittany.edu,EE352,1,1,67
dk5949@nittany.edu,CSE543,2,1,66
dk5949@nittany.edu,CMPSC131,2,1,81
dk5949@nittany.edu,PHYS213,2,1,92
dk6748@nittany.edu,IST128,2,1,82
dk6748@nittany.edu,CMPEN331,1,1,88
